OwnerUserId,AvgNormalizedScore,TotalNormalizedScore,AvgRawScore,TotalRawScore,TotalAnswers,badges,DisplayName,Reputation,CreationDate,LastAccessDate,Views,UpVotes,DownVotes
36.0,0.5866,25.2234,5.9535,256,43,"['Teacher', 'Student', 'Editor', 'Organizer', 'Supporter', 'Critic', 'Citizen Patrol', 'Autobiographer', 'Scholar', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Enlightened', 'Enlightened', 'Enlightened', 'Enlightened', 'Enlightened', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Beta', 'Commentator', 'Mortarboard', 'Investor', 'Altruist', 'Enthusiast', 'Fanatic', 'Suffrage', 'Revival', 'Revival', 'Quorum', 'Vox Populi', 'Excavator', 'Caucus', 'Caucus', 'Constituent', 'Constituent', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Informed', 'Curious', 'Explainer']",Alexei,3691,2017-01-31 19:15:23.607,2024-03-25 09:32:56.290,37,283,8
42.0,0.25,0.25,1.0,1,1,"['Teacher', 'Organizer', 'Supporter', 'Critic', 'Citizen Patrol', 'Autobiographer', 'Precognitive', 'Quorum', 'Custodian']",Martin Tournoij,160,2017-01-31 19:17:51.100,2018-07-06 23:57:37.563,2,1,2
46.0,0.5048,2.0191,9.5,38,4,"['Teacher', 'Supporter', 'Critic', 'Autobiographer', 'Yearling', 'Yearling', 'Yearling', 'Enlightened', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Precognitive', 'Informed']",user24601,606,2017-01-31 19:18:55.717,2017-04-06 20:41:14.930,2,3,1
47.0,0.5175,8.2807,8.625,138,16,"['Teacher', 'Student', 'Editor', 'Organizer', 'Supporter', 'Critic', 'Scholar', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Enlightened', 'Enlightened', 'Nice Question', 'Nice Question', 'Nice Question', 'Good Question', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Good Answer', 'Popular Question', 'Notable Question', 'Beta', 'Commentator', 'Tag Editor', 'Precognitive', 'Quorum', 'Caucus', 'Caucus', 'Constituent', 'Constituent', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Informed', 'Curious']",Turion,2315,2017-01-31 19:19:23.530,2023-03-09 08:00:39.303,27,231,4
50.0,0.4286,0.4286,6.0,6,1,"['Teacher', 'Editor', 'Organizer', 'Supporter', 'Critic', 'Citizen Patrol', 'Autobiographer', 'Talkative', 'Precognitive', 'Quorum', 'Convention', 'Excavator', 'Caucus', 'Caucus', 'Constituent', 'Constituent', 'Custodian', 'Informed']",Mithical,166,2017-01-31 19:23:18.843,2024-02-22 17:15:44.793,9,20,9
52.0,0.3515,1.0544,8.3333,25,3,"['Teacher', 'Student', 'Editor', 'Organizer', 'Supporter', 'Critic', 'Autobiographer', 'Scholar', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Enlightened', 'Nice Question', 'Nice Question', 'Good Question', 'Nice Answer', 'Nice Answer', 'Popular Question', 'Notable Question', 'Beta', 'Commentator', 'Promoter', 'Benefactor', 'Enthusiast', 'Quorum', 'Caucus', 'Caucus', 'Constituent', 'Custodian', 'Custodian', 'Custodian', 'Informed']",I.G. Pascual,1076,2017-01-31 19:24:02.513,2024-03-25 09:35:14.343,4,74,1
53.0,0.6595,4.6168,11.8571,83,7,"['Teacher', 'Editor', 'Supporter', 'Autobiographer', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Necromancer', 'Enlightened', 'Enlightened', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Good Answer', 'Beta', 'Revival', 'Custodian']",LennonR,969,2017-01-31 19:24:51.883,2019-10-06 14:03:17.073,3,20,0
54.0,0.0,0.0,0.0,0,1,"['Student', 'Editor', 'Supporter', 'Critic', 'Autobiographer', 'Scholar', 'Yearling', 'Yearling', 'Nice Question', 'Popular Question', 'Popular Question', 'Popular Question', 'Popular Question', 'Popular Question', 'Notable Question', 'Commentator', 'Peer Pressure', 'Caucus', 'Caucus', 'Constituent', 'Custodian', 'Custodian', 'Curious']",Petar Vasilev,547,2017-01-31 19:25:06.010,2022-11-18 12:31:16.667,9,51,1
55.0,0.2273,0.2273,5.0,5,1,"['Teacher', 'Autobiographer']",Florian,151,2017-01-31 19:27:57.457,2017-09-15 18:53:23.553,2,0,0
56.0,0.631,8.8339,6.9286,97,14,"['Teacher', 'Student', 'Editor', 'Cleanup', 'Organizer', 'Supporter', 'Critic', 'Citizen Patrol', 'Autobiographer', 'Scholar', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Enlightened', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Popular Question', 'Popular Question', 'Popular Question', 'Notable Question', 'Famous Question', 'Commentator', 'Civic Duty', 'Tag Editor', 'Suffrage', 'Quorum', 'Vox Populi', 'Excavator', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Informed', 'Curious', 'Explainer']",nloewen,2853,2017-01-31 19:30:01.237,2021-12-30 03:38:23.390,32,410,19
57.0,0.4336,1.7342,21.75,87,4,"['Teacher', 'Student', 'Editor', 'Supporter', 'Critic', 'Autobiographer', 'Scholar', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Guru', 'Enlightened', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Good Question', 'Nice Answer', 'Nice Answer', 'Good Answer', 'Good Answer', 'Popular Question', 'Notable Question', 'Beta', 'Mortarboard', 'Suffrage', 'Precognitive', 'Quorum', 'Caucus', 'Caucus', 'Custodian']",dsgriffin,1981,2017-01-31 19:32:16.947,2022-11-03 18:44:02.980,23,179,5
60.0,0.3825,2.2952,4.8333,29,6,"['Teacher', 'Student', 'Editor', 'Organizer', 'Supporter', 'Critic', 'Citizen Patrol', 'Autobiographer', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Enlightened', 'Nice Question', 'Nice Question', 'Good Question', 'Nice Answer', 'Nice Answer', 'Popular Question', 'Commentator', 'Civic Duty', 'Investor', 'Altruist', 'Enthusiast', 'Tag Editor', 'Suffrage', 'Precognitive', 'Quorum', 'Vox Populi', 'Excavator', 'Caucus', 'Caucus', 'Constituent', 'Constituent', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Informed', 'Sheriff', 'Curious', 'Explainer']",Rand al'Thor,886,2017-01-31 19:37:06.610,2024-04-06 19:26:27.723,15,463,50
63.0,0.474,1.4219,13.0,39,3,"['Teacher', 'Student', 'Editor', 'Supporter', 'Critic', 'Autobiographer', 'Scholar', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Enlightened', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Good Question', 'Good Question', 'Nice Answer', 'Nice Answer', 'Popular Question', 'Popular Question', 'Beta', 'Mortarboard', 'Custodian']",StackExchange What The Heck,1634,2017-01-31 19:42:12.793,2021-07-04 06:52:32.890,15,59,1
65.0,0.1456,0.2911,8.0,16,2,"['Teacher', 'Student', 'Editor', 'Supporter', 'Critic', 'Autobiographer', 'Scholar', 'Yearling', 'Nice Question', 'Nice Answer']",Dan,387,2017-01-31 19:42:28.930,2020-09-03 13:08:45.937,4,21,2
66.0,0.6764,5.4114,4.5,36,8,"['Teacher', 'Student', 'Editor', 'Supporter', 'Critic', 'Autobiographer', 'Scholar', 'Yearling', 'Yearling', 'Yearling', 'Enlightened', 'Nice Question', 'Nice Answer', 'Commentator']",Adam Miller,717,2017-01-31 19:43:13.623,2021-06-09 19:46:20.577,9,3,1
69.0,0.2891,2.8908,10.3,103,10,"['Teacher', 'Student', 'Editor', 'Organizer', 'Supporter', 'Critic', 'Citizen Patrol', 'Autobiographer', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Self-Learner', 'Enlightened', 'Enlightened', 'Nice Question', 'Nice Question', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Good Answer', 'Beta', 'Commentator', 'Mortarboard', 'Quorum', 'Caucus', 'Custodian', 'Informed']",djechlin,1484,2017-01-31 19:52:07.930,2021-08-04 04:01:21.857,18,59,13
70.0,0.5979,7.1745,6.5,78,12,"['Teacher', 'Student', 'Editor', 'Cleanup', 'Organizer', 'Supporter', 'Critic', 'Citizen Patrol', 'Autobiographer', 'Scholar', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Enlightened', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Good Question', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Popular Question', 'Popular Question', 'Popular Question', 'Beta', 'Commentator', 'Civic Duty', 'Enthusiast', 'Tag Editor', 'Talkative', 'Precognitive', 'Quorum', 'Convention', 'Synonymizer', 'Excavator', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Informed', 'Constable', 'Explainer']",Erica,2222,2017-01-31 19:54:11.480,2021-09-19 19:17:54.377,74,378,42
71.0,0.514,2.0561,8.0,32,4,"['Teacher', 'Supporter', 'Autobiographer', 'Yearling', 'Yearling', 'Enlightened', 'Nice Answer', 'Nice Answer']",LMGagne,451,2017-01-31 19:54:58.717,2018-01-08 14:30:55.183,2,6,0
74.0,0.6126,72.2908,7.7881,919,118,"['Teacher', 'Student', 'Editor', 'Cleanup', 'Organizer', 'Supporter', 'Critic', 'Citizen Patrol', 'Autobiographer', 'Scholar', 'Strunk & White', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Self-Learner', 'Necromancer', 'Enlightened', 'Enlightened', 'Enlightened', 'Enlightened', 'Enlightened', 'Enlightened', 'Enlightened', 'Enlightened', 'Enlightened', 'Enlightened', 'Enlightened', 'Enlightened', 'Enlightened', 'Enlightened', 'Enlightened', 'Enlightened', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Good Answer', 'Good Answer', 'Good Answer', 'Popular Question', 'Popular Question', 'Popular Question', 'Notable Question', 'Beta', 'Commentator', 'Civic Duty', 'Mortarboard', 'Investor', 'Altruist', 'Enthusiast', 'Fanatic', 'Pundit', 'Tag Editor', 'Sportsmanship', 'Revival', 'Talkative', 'Quorum', 'Convention', 'Outspoken', 'Deputy', 'Synonymizer', 'Proofreader', 'Excavator', 'Caucus', 'Caucus', 'Constituent', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Informed', 'Constable', 'Curious', 'Explainer', 'veganism']",Zanna,11880,2017-01-31 20:04:56.547,2024-03-31 04:36:19.287,284,761,81
76.0,0.349,2.792,7.125,57,8,"['Teacher', 'Student', 'Editor', 'Supporter', 'Critic', 'Autobiographer', 'Scholar', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Enlightened', 'Nice Question', 'Nice Question', 'Nice Answer', 'Nice Answer', 'Popular Question', 'Notable Question', 'Famous Question', 'Beta', 'Commentator', 'Enthusiast', 'Precognitive', 'Quorum', 'Caucus', 'Custodian', 'Custodian', 'Custodian']",C_Z_,1425,2017-01-31 20:11:19.157,2021-10-21 02:32:08.623,7,106,14
77.0,0.523,3.661,4.7143,33,7,"['Teacher', 'Student', 'Editor', 'Organizer', 'Supporter', 'Critic', 'Citizen Patrol', 'Autobiographer', 'Scholar', 'Taxonomist', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Self-Learner', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Popular Question', 'Popular Question', 'Popular Question', 'Popular Question', 'Notable Question', 'Beta', 'Commentator', 'Enthusiast', 'Tag Editor', 'Suffrage', 'Talkative', 'Quorum', 'Convention', 'Vox Populi', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Informed', 'Constable', 'Curious']",Niitaku,2491,2017-01-31 20:12:42.780,2022-06-07 08:22:50.077,42,233,3
85.0,0.1364,0.1364,3.0,3,1,"['Teacher', 'Student', 'Supporter', 'Autobiographer', 'Caucus', 'Caucus', 'Constituent', 'Constituent', 'Custodian']",adarsh,181,2017-01-31 20:33:48.807,2022-08-23 13:45:49.937,3,1,0
87.0,1.0,1.0,8.0,8,1,"['Teacher', 'Supporter', 'Autobiographer', 'Precognitive']",Kess Vargavind,181,2017-01-31 20:36:11.100,2019-05-12 12:45:19.680,4,6,0
88.0,0.5417,0.5417,13.0,13,1,"['Teacher', 'Editor', 'Supporter', 'Autobiographer', 'Yearling', 'Nice Answer', 'Precognitive']",Bob Tway,239,2017-01-31 20:40:39.430,2022-08-17 17:45:15.217,3,3,0
89.0,0.7122,2.8487,9.5,38,4,"['Teacher', 'Student', 'Editor', 'Organizer', 'Supporter', 'Critic', 'Citizen Patrol', 'Autobiographer', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Enlightened', 'Nice Question', 'Nice Question', 'Nice Answer', 'Nice Answer', 'Popular Question', 'Notable Question', 'Commentator', 'Tumbleweed', 'Tag Editor', 'Precognitive', 'Caucus', 'Caucus', 'Curious']",unor,1249,2017-01-31 20:48:09.177,2024-04-06 11:31:08.530,7,143,23
90.0,1.0,1.0,3.0,3,1,"['Teacher', 'Supporter', 'Critic', 'Citizen Patrol', 'Autobiographer']",Aurora0001,131,2017-01-31 20:49:07.767,2019-09-28 12:06:49.537,0,3,5
92.0,0.4087,1.6349,10.0,40,4,"['Teacher', 'Student', 'Editor', 'Supporter', 'Scholar', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Enlightened', 'Nice Question', 'Nice Question', 'Good Question', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Popular Question', 'Notable Question', 'Famous Question', 'Beta']",Den,976,2017-01-31 20:55:00.097,2021-09-22 16:10:52.963,13,31,0
97.0,0.566,16.4128,6.9655,202,29,"['Teacher', 'Student', 'Editor', 'Cleanup', 'Organizer', 'Supporter', 'Critic', 'Citizen Patrol', 'Autobiographer', 'Scholar', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Enlightened', 'Nice Question', 'Nice Question', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Good Answer', 'Good Answer', 'Popular Question', 'Beta', 'Commentator', 'Mortarboard', 'Enthusiast', 'Tag Editor', 'Talkative', 'Quorum', 'Convention', 'Synonymizer', 'Excavator', 'Caucus', 'Caucus', 'Constituent', 'Constituent', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Informed', 'Constable', 'Explainer']",Robert Longson,2440,2017-01-31 21:13:48.893,2024-04-06 16:11:13.750,41,59,5
106.0,0.3258,3.5833,3.3636,37,11,"['Teacher', 'Student', 'Editor', 'Supporter', 'Scholar', 'Yearling', 'Yearling', 'Yearling', 'Nice Question', 'Popular Question', 'Beta', 'Commentator', 'Peer Pressure', 'Precognitive', 'Quorum', 'Custodian', 'Custodian']",ecc,721,2017-01-31 22:10:37.630,2020-11-09 14:34:55.970,8,40,0
107.0,0.2564,1.5383,4.0,24,6,"['Teacher', 'Supporter', 'Autobiographer', 'Yearling', 'Nice Answer', 'Enthusiast', 'Precognitive', 'Custodian']",Darrin Thomas,354,2017-01-31 22:13:24.333,2019-06-25 13:53:48.743,10,2,0
110.0,0.75,0.75,3.0,3,1,"['Teacher', 'Supporter', 'Citizen Patrol', 'Precognitive']",Daveoc64,131,2017-01-31 22:43:47.570,2022-06-23 13:59:02.577,2,11,0
115.0,0.5476,11.499,6.3333,133,21,"['Teacher', 'Student', 'Editor', 'Organizer', 'Supporter', 'Critic', 'Scholar', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Self-Learner', 'Enlightened', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Nice Question', 'Good Question', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Popular Question', 'Popular Question', 'Popular Question', 'Popular Question', 'Notable Question', 'Notable Question', 'Beta', 'Commentator', 'Mortarboard', 'Investor', 'Promoter', 'Benefactor', 'Enthusiast', 'Tag Editor', 'Precognitive', 'Quorum', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Informed', 'Curious', 'Explainer']",Attilio,5789,2017-01-31 23:50:30.220,2021-06-12 16:02:02.620,50,122,7
117.0,0.5455,3.8184,9.8571,69,7,"['Teacher', 'Student', 'Editor', 'Supporter', 'Autobiographer', 'Scholar', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Nice Question', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Beta', 'Commentator', 'Custodian']",WetlabStudent,1095,2017-01-31 23:56:39.517,2022-08-16 08:03:37.717,9,38,0
122.0,0.5278,1.0556,5.0,10,2,"['Teacher', 'Editor', 'Supporter', 'Autobiographer', 'Yearling', 'Custodian', 'Custodian']",drat,218,2017-02-01 00:43:19.873,2018-02-01 01:27:03.530,7,28,0
123.0,0.1635,0.3269,4.5,9,2,"['Teacher', 'Student', 'Supporter']",Ed W,181,2017-02-01 01:05:24.967,2018-03-02 03:55:11.553,2,2,0
124.0,0.6607,1.3214,5.0,10,2,"['Teacher', 'Student', 'Editor', 'Supporter', 'Critic', 'Autobiographer', 'Scholar', 'Yearling', 'Commentator', 'Precognitive', 'Quorum', 'Caucus', 'Caucus', 'Constituent']",Azor Ahai -him-,258,2017-02-01 01:22:24.880,2024-01-22 03:40:55.030,5,12,1
125.0,0.3004,2.4033,3.125,25,8,"['Teacher', 'Student', 'Editor', 'Supporter', 'Critic', 'Autobiographer', 'Scholar', 'Yearling', 'Yearling', 'Yearling', 'Self-Learner', 'Nice Question', 'Beta', 'Commentator', 'Mortarboard', 'Precognitive', 'Custodian']",CoffeDeveloper,637,2017-02-01 01:38:35.723,2019-11-30 08:15:30.730,8,11,5
128.0,0.5239,2.0954,19.5,78,4,"['Teacher', 'Student', 'Editor', 'Organizer', 'Supporter', 'Critic', 'Citizen Patrol', 'Autobiographer', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Necromancer', 'Enlightened', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Good Answer', 'Popular Question', 'Beta', 'Commentator', 'Tag Editor', 'Talkative', 'Quorum', 'Excavator', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Informed']",Nog Shine,977,2017-02-01 02:16:00.650,2019-12-22 06:09:48.710,31,40,11
141.0,0.2,0.2,3.0,3,1,"['Teacher', 'Supporter', 'Critic', 'Citizen Patrol', 'Autobiographer', 'Informed']",Richard Telford,147,2017-02-01 07:12:54.290,2017-10-04 14:58:13.637,3,12,1
146.0,0.5566,1.6699,6.0,18,3,"['Teacher', 'Supporter', 'Yearling', 'Nice Answer', 'Quorum', 'Informed']",Christian,328,2017-02-01 08:10:01.147,2020-10-05 07:18:17.110,2,1,0
154.0,0.5724,9.731,7.5882,129,17,"['Teacher', 'Student', 'Editor', 'Cleanup', 'Supporter', 'Critic', 'Citizen Patrol', 'Autobiographer', 'Scholar', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Enlightened', 'Nice Question', 'Nice Question', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Beta', 'Commentator', 'Civic Duty', 'Mortarboard', 'Enthusiast', 'Fanatic', 'Suffrage', 'Talkative', 'Quorum', 'Vox Populi', 'Caucus', 'Constituent', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Custodian', 'Informed']",Ramon Melo,1902,2017-02-01 10:20:26.413,2021-11-26 03:08:16.363,24,385,25
156.0,0.4335,1.7341,16.25,65,4,"['Teacher', 'Editor', 'Supporter', 'Autobiographer', 'Yearling', 'Yearling', 'Yearling', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Nice Answer', 'Good Answer']",sandwich_messiah,761,2017-02-01 10:24:24.907,2020-07-28 11:54:23.587,3,11,0
159.0,0.2639,5.5411,4.4762,94,21,"['Teacher', 'Student', 'Editor', 'Cleanup', 'Supporter', 'Critic', 'Citizen Patrol', 'Autobiographer', 'Scholar', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Yearling', 'Necromancer', 'Nice Question', 'Nice Question', 'Beta', 'Commentator', 'Tag Editor', 'Revival', 'Quorum', 'Custodian', 'Custodian', 'Informed', 'Explainer']",Tom Kelly,1542,2017-02-01 11:45:15.087,2023-06-01 07:44:24.180,25,16,15
162.0,0.0556,0.0556,1.0,1,1,"['Teacher', 'Student', 'Editor', 'Supporter', 'Critic', 'Autobiographer', 'Yearling', 'Yearling', 'Yearling', 'Nice Question', 'Nice Question', 'Nice Question', 'Good Question', 'Popular Question', 'Notable Question', 'Commentator', 'Precognitive', 'Custodian', 'Custodian', 'Informed']",Amit Saxena,639,2017-02-01 12:57:21.673,2021-06-02 11:12:21.797,7,8,1
